iter	Passed	Remaining
0	168	168287
1	170	84982
2	174	57847
3	179	44659
4	181	36047
5	186	30830
6	191	27187
7	197	24535
8	203	22357
9	205	20324
10	206	18606
11	208	17155
12	210	15945
13	212	14954
14	214	14056
15	219	13470
16	221	12834
17	225	12322
18	232	12019
19	234	11496
20	263	12269
21	267	11900
22	269	11438
23	271	11036
24	273	10649
25	275	10323
26	281	10142
27	283	9828
28	284	9532
29	286	9255
30	287	8993
31	289	8752
32	290	8527
33	293	8343
34	296	8182
35	298	7988
36	299	7803
37	301	7644
38	303	7478
39	304	7316
40	306	7165
41	308	7027
42	309	6891
43	311	6763
44	313	6644
45	314	6521
46	315	6404
47	317	6291
48	318	6181
49	319	6078
50	322	5992
51	323	5899
52	325	5812
53	326	5723
54	328	5635
55	329	5552
56	330	5472
57	332	5396
58	334	5329
59	336	5271
60	339	5226
61	341	5162
62	342	5097
63	344	5032
64	345	4969
65	346	4909
66	353	4917
67	354	4864
68	356	4811
69	358	4762
70	360	4720
71	362	4677
72	364	4629
73	365	4579
74	367	4529
75	368	4484
76	370	4441
77	371	4396
78	373	4352
79	375	4312
80	376	4277
81	378	4242
82	380	4200
83	381	4164
84	383	4133
85	385	4099
86	387	4064
87	388	4029
88	390	3993
89	394	3986
90	396	3961
91	398	3929
92	400	3903
93	402	3879
94	403	3847
95	405	3822
96	407	3797
97	409	3766
98	410	3737
99	412	3708
100	413	3679
101	415	3656
102	417	3633
103	418	3607
104	420	3587
105	422	3566
106	424	3546
107	426	3525
108	428	3505
109	430	3483
110	432	3463
111	435	3449
112	437	3432
113	439	3414
114	444	3424
115	448	3415
116	453	3420
117	457	3420
118	462	3424
119	464	3406
120	466	3391
121	468	3368
122	469	3347
123	471	3334
124	473	3315
125	475	3298
126	476	3277
127	478	3260
128	481	3248
129	482	3232
130	484	3215
131	486	3196
132	488	3183
133	490	3167
134	491	3150
135	493	3134
136	495	3121
137	496	3103
138	498	3085
139	499	3068
140	500	3050
141	501	3031
142	503	3015
143	504	2998
144	505	2982
145	506	2965
146	508	2949
147	512	2948
148	513	2933
149	514	2918
150	516	2902
151	517	2887
152	518	2872
153	520	2857
154	521	2844
155	523	2834
156	525	2822
157	527	2810
158	529	2799
159	530	2785
160	531	2771
161	533	2759
162	534	2745
163	536	2733
164	537	2721
165	539	2711
166	541	2698
167	542	2686
168	543	2673
169	545	2661
170	546	2648
171	547	2637
172	549	2625
173	550	2614
174	552	2603
175	553	2592
176	555	2582
177	556	2571
178	558	2560
179	559	2549
180	561	2538
181	562	2527
182	563	2516
183	564	2504
184	566	2495
185	567	2485
186	569	2476
187	570	2466
188	572	2456
189	574	2448
190	576	2439
191	577	2431
192	579	2422
193	581	2413
194	582	2404
195	583	2394
196	584	2384
197	586	2373
198	587	2363
199	588	2353
200	589	2344
201	591	2334
202	592	2325
203	593	2316
204	594	2306
205	596	2298
206	597	2288
207	598	2279
208	599	2269
209	600	2260
210	601	2250
211	603	2241
212	604	2232
213	605	2223
214	606	2214
215	607	2205
216	608	2196
217	610	2190
218	612	2182
219	613	2174
220	614	2166
221	615	2157
222	616	2148
223	617	2140
224	618	2131
225	620	2123
226	621	2115
227	622	2108
228	623	2100
229	625	2093
230	626	2085
231	627	2077
232	628	2069
233	629	2061
234	631	2054
235	632	2046
236	633	2038
237	634	2030
238	635	2022
239	636	2015
240	637	2007
241	641	2008
242	642	2001
243	643	1994
244	644	1987
245	645	1979
246	647	1972
247	648	1965
248	649	1958
249	650	1950
250	651	1943
251	652	1936
252	653	1930
253	655	1924
254	656	1917
255	657	1910
256	658	1904
257	659	1897
258	660	1890
259	662	1884
260	663	1877
261	664	1871
262	665	1865
263	667	1860
264	668	1854
265	670	1849
266	671	1843
267	672	1837
268	673	1831
269	674	1824
270	676	1818
271	677	1812
272	678	1806
273	679	1799
274	680	1794
275	681	1788
276	683	1783
277	684	1777
278	685	1772
279	687	1767
280	688	1762
281	690	1756
282	691	1750
283	692	1745
284	693	1739
285	694	1733
286	696	1729
287	697	1724
288	698	1718
289	699	1713
290	700	1707
291	701	1701
292	703	1696
293	704	1690
294	705	1685
295	706	1680
296	707	1674
297	708	1669
298	710	1665
299	711	1659
300	713	1656
301	715	1652
302	716	1647
303	717	1642
304	718	1637
305	719	1632
306	720	1626
307	721	1621
308	722	1616
309	724	1612
310	725	1607
311	727	1603
312	728	1598
313	729	1593
314	730	1588
315	731	1583
316	732	1578
317	733	1574
318	735	1569
319	736	1564
320	737	1560
